given_name,surname,gender,birthdate,country_of_birth,current_country,phone_number,postcode,national_insurance_number,bank_account_number,cc_status,weight,height,blood_group,avg_n_drinks_per_week,avg_n_cigret_per_week,education_level,n_countries_visited
Peter,Brookes,M,1991-06-26,Saint Lucia,United Kingdom,07700 900465,KT1 8UU,ZZ517176T,014522969,1,64.1,1.91,O+,3.0,406.9,secondary,44
Frances,Hopkins,F,1961-08-26,Congo,United Kingdom,+44(0)7700900306,E6 7UY,ZZ 361534 T,102635111,0,80.0,1.84,B+,9.6,322.0,secondary,31
Bruce,Day,M,1991-09-03,Korea,United Kingdom,+44(0)7700 900317,EN30 9FE,ZZ 76 58 21 T,107296681,0,77.9,1.57,O+,4.3,67.7,secondary,29
Mandy,Davies,F,1977-10-31,Syrian Arab Republic,United Kingdom,+447700 900738,L0F 5BW,ZZ 49 26 94 T,127118011,0,77.5,1.79,B+,9.0,183.8,secondary,45
Jade,Clarke,F,1976-05-02,American Samoa,United Kingdom,+447700 900522,LE5V 8WB,ZZ 189163 T,058967690,0,41.5,1.95,O+,10.0,74.7,phD,10
Francesca,Barnes,F,1957-04-14,Palestinian Territory,United Kingdom,07700 900 248,M5B 4NS,ZZ602234T,125007629,0,90.1,1.88,O+,4.1,34.6,bachelor,24
Grace,Ball,F,1996-11-07,Saint Barthelemy,United Kingdom,07700 900256,W6 0EU,ZZ 00 99 25 T,028536718,0,98.4,1.91,A+,3.6,365.0,secondary,27
Robert,Morrison,M,1987-09-07,New Zealand,United Kingdom,+44(0)7700 900519,TN2 4EW,ZZ 06 75 37 T,061007408,0,36.2,1.88,A+,3.5,464.0,bachelor,4
Elliot,King,M,1994-10-20,Turkey,United Kingdom,(07700) 900 318,NG6V 1FS,ZZ 611611 T,072076606,0,72.5,1.54,O-,6.1,267.8,bachelor,37
Frederick,Bell,M,1977-12-21,Saint Helena,United Kingdom,(07700) 900151,N0 5GA,ZZ 51 92 30 T,041045095,0,48.6,1.51,O-,7.4,245.2,secondary,14
Connor,Taylor,M,1968-08-12,Korea,United Kingdom,07700 900754,B35 7NN,ZZ 529118 T,104262236,0,55.3,1.82,A-,1.8,12.3,secondary,35
Charles,Buckley,M,1971-12-30,Saudi Arabia,United Kingdom,07700900456,BH2W 6DD,ZZ 64 86 29 T,074513756,0,93.3,1.99,A+,6.6,131.7,primary,38
Stanley,Wells,M,1959-10-30,Honduras,United Kingdom,+447700 900 065,DL54 1GE,ZZ189276T,036623752,0,73.2,1.9,O+,8.7,136.8,masters,11
Amber,Sanders,F,1987-05-11,Niue,United Kingdom,+44(0)7700 900173,AB7 0HN,ZZ 48 92 67 T,027386406,0,49.0,1.97,O+,2.5,106.7,secondary,3
Darren,Dixon,M,2001-05-19,Armenia,United Kingdom,07700 900 468,S7B 5NH,ZZ 101448 T,061832165,0,59.3,1.68,A+,5.9,431.9,secondary,27
Jacob,Bird,M,1965-01-14,Montenegro,United Kingdom,+447700900381,RH86 4TQ,ZZ 221166 T,107284570,0,60.7,1.74,A+,1.4,244.0,secondary,47
Lynne,Lloyd,F,1989-02-26,Puerto Rico,United Kingdom,+447700900570,GU27 9HA,ZZ760811T,116050193,0,93.7,1.45,O+,5.8,481.0,secondary,14
David,Watkins,M,1999-06-20,Reunion,United Kingdom,(07700) 900329,DG1 7PR,ZZ 56 62 72 T,095232757,0,95.4,1.8,O+,2.8,293.2,secondary,25
Georgina,Pugh,F,1989-05-14,Iceland,United Kingdom,+44(0)7700900337,B60 1GQ,ZZ 23 94 91 T,128456701,0,57.0,1.98,A+,9.5,470.7,masters,32
Vanessa,Harrison,F,2001-03-09,Zimbabwe,United Kingdom,+44(0)7700 900869,LU47 5LB,ZZ 02 50 40 T,031639686,0,90.2,1.77,A+,3.5,74.1,other,25
Jamie,Price,M,1978-12-29,Netherlands,United Kingdom,07700 900915,NN7 4AW,ZZ 35 13 85 T,043444869,0,59.0,1.48,O+,1.9,255.7,secondary,7
Pamela,Jones,F,1972-03-21,Aruba,United Kingdom,(07700) 900810,ME70 7TT,ZZ 11 31 26 T,047916869,1,97.5,1.94,O+,3.3,40.6,secondary,13
Michael,Schofield,M,1972-11-19,Liechtenstein,United Kingdom,(07700) 900 245,KY1 9XH,ZZ 478978 T,114430197,0,82.2,1.41,O+,1.5,39.8,secondary,34
Adam,Thompson,M,1984-02-09,Egypt,United Kingdom,(07700) 900 408,S0B 4EY,ZZ384331T,094535743,0,71.2,1.92,O+,2.7,65.7,secondary,16
Iain,Thompson,M,1956-12-11,Mexico,United Kingdom,+447700900559,BB2P 2WD,ZZ 37 93 32 T,046599274,0,79.4,1.82,A+,3.8,90.6,masters,5
Michelle,Richards,F,1957-08-29,Mali,United Kingdom,+44(0)7700 900 577,AL3 7UX,ZZ142963T,064603058,0,85.5,1.56,A-,5.9,136.4,secondary,11
Harry,Ward,M,1985-11-29,Paraguay,United Kingdom,+44(0)7700900345,CW4A 9XB,ZZ 250700 T,040035103,0,87.0,1.45,B-,3.1,288.8,other,33
Kyle,Page,M,1984-08-26,Burkina Faso,United Kingdom,(07700) 900 762,HA2 6RA,ZZ488709T,026620820,0,68.2,1.72,O+,2.8,64.4,secondary,48
Graeme,Taylor,M,1990-11-11,Tajikistan,United Kingdom,+44(0)7700900215,G30 8GD,ZZ919729T,100456004,0,70.3,1.67,O+,4.6,362.1,secondary,45
Rachael,Archer,F,1975-10-23,Paraguay,United Kingdom,07700900738,CW6 4UR,ZZ 48 48 70 T,099840763,0,56.3,1.85,O+,2.4,80.3,masters,48
Darren,Ahmed,M,1989-08-23,Austria,United Kingdom,07700 900 404,SL9Y 3WW,ZZ643195T,049852251,0,90.8,1.67,O-,5.8,410.4,other,41
Christopher,Grant,M,1959-05-18,Monaco,United Kingdom,07700900554,GY5R 9SG,ZZ 29 07 25 T,017493189,0,60.9,1.44,B+,2.6,424.5,primary,48
Phillip,White,M,1967-09-20,Malta,United Kingdom,07700900129,S6 4NA,ZZ448885T,063620825,0,36.1,1.51,A-,9.3,49.8,other,44
Mohamed,Harrison,M,1994-03-22,Hungary,United Kingdom,(07700)900708,RH93 5WG,ZZ 357039 T,044261973,0,50.1,1.77,A+,0.2,214.4,secondary,14
Terence,Reid,M,1986-06-28,Tonga,United Kingdom,+447700900132,BR66 4SQ,ZZ 514070 T,053666608,0,43.5,1.41,A+,6.2,487.1,other,22
Iain,Hall,M,1994-08-06,Brunei Darussalam,United Kingdom,+44(0)7700 900 450,LN82 1YQ,ZZ013187T,015056243,0,66.9,1.99,A+,7.8,144.2,secondary,34
Dennis,Davies,M,1996-06-04,Cameroon,United Kingdom,+447700 900 480,G27 8BX,ZZ 625911 T,092434545,0,68.6,1.65,O+,2.9,353.3,secondary,19
Danielle,Weston,F,1986-12-14,United States of America,United Kingdom,07700900782,G8 5DH,ZZ 793782 T,125278089,0,38.0,1.54,A+,8.1,492.7,other,45
Luke,Perry,M,1979-04-04,Afghanistan,United Kingdom,07700 900169,OL7 6WQ,ZZ 125022 T,015930602,1,51.2,1.46,O-,2.3,344.9,secondary,37
Geraldine,Kemp,F,1982-05-25,United States Minor Outlying Islands,United Kingdom,07700 900 925,S0 5ZZ,ZZ497620T,084361516,0,59.6,1.62,O+,2.4,85.9,secondary,17
Helen,Payne,F,1957-05-05,Christmas Island,United Kingdom,+447700 900 905,TQ87 1BX,ZZ408115T,061702842,0,67.7,1.97,O+,8.7,470.1,masters,36
Karen,Savage,F,1978-11-14,Cayman Islands,United Kingdom,+447700900222,L95 7RB,ZZ 34 52 35 T,042675927,1,64.4,1.44,A+,1.5,208.7,secondary,31
Alex,Armstrong,M,1956-10-21,Central African Republic,United Kingdom,+44(0)7700 900 062,B05 0BE,ZZ 922606 T,079532583,0,97.9,1.73,A+,5.9,448.4,secondary,28
Raymond,Ashton,M,1960-11-10,Bulgaria,United Kingdom,+447700 900 951,YO63 6JR,ZZ 76 91 44 T,095809973,0,61.1,1.55,B-,3.1,186.5,secondary,38
Terence,White,M,1997-06-19,Gibraltar,United Kingdom,+447700 900 180,S06 6ET,ZZ 722576 T,039481551,0,91.1,1.43,A+,4.5,52.3,secondary,38
Rachel,Johnson,F,1988-01-21,Niue,United Kingdom,+447700900034,N46 4XS,ZZ 64 63 52 T,031952062,0,81.2,1.52,A+,6.8,439.6,secondary,16
Gerard,Matthews,M,1961-01-27,Norway,United Kingdom,+44(0)7700900168,NR2E 3GJ,ZZ 82 75 94 T,125164258,0,35.5,1.62,O+,9.2,44.7,secondary,3
Terry,Knight,M,1978-06-20,Marshall Islands,United Kingdom,+44(0)7700900268,EC6 6UW,ZZ661220T,109813994,0,53.1,1.53,A+,5.8,347.6,bachelor,48
Douglas,Griffiths,M,2002-09-29,Saint Martin,United Kingdom,+44(0)7700 900 261,B1 7PE,ZZ 759473 T,038818206,0,74.0,1.75,AB+,0.2,348.2,masters,26
Danny,Baker,M,1991-01-30,Ireland,United Kingdom,+44(0)7700 900 376,BA9 6GT,ZZ 061965 T,048707912,0,41.3,1.67,B-,6.9,45.4,secondary,22
Wendy,Lee,F,1989-04-02,Mexico,United Kingdom,+44(0)7700 900674,L85 4ZF,ZZ117696T,091473141,0,75.2,1.48,AB+,8.7,251.4,other,28
Rachel,Evans,F,1962-04-19,Burundi,United Kingdom,+44(0)7700 900029,L0A 8ZU,ZZ 178551 T,110337443,0,97.9,1.95,A+,1.7,194.6,other,16
Nathan,Bailey,M,1980-01-15,Yemen,United Kingdom,+447700900511,OX6 5RF,ZZ 43 75 46 T,102165872,0,64.0,1.94,A+,6.6,220.1,secondary,35
Geoffrey,Lynch,M,1981-05-03,Niue,United Kingdom,(07700)900645,TD41 4ET,ZZ 53 25 73 T,026678791,0,38.9,1.44,O-,7.4,449.0,bachelor,27
Dylan,Quinn,M,1983-01-23,Macao,United Kingdom,(07700) 900735,B1H 6JS,ZZ 90 61 43 T,125212508,1,58.5,1.68,A-,9.8,87.3,secondary,35
Connor,Watson,M,1956-06-10,Hong Kong,United Kingdom,+447700900021,L1T 3AW,ZZ 618233 T,076706367,0,66.0,1.57,A+,5.1,184.0,secondary,18
Nicola,Richards,F,1974-03-20,Antarctica (the territory South of 60 deg S),United Kingdom,+44(0)7700 900 555,LE2W 4EE,ZZ029263T,105368812,0,41.3,1.61,O+,6.6,198.6,other,19
Heather,Webb,F,1988-03-09,British Virgin Islands,United Kingdom,+447700900772,NR52 4RD,ZZ 853735 T,086070863,0,87.8,1.99,O+,7.6,349.1,secondary,9
Francis,Wilson,M,1972-04-17,El Salvador,United Kingdom,+447700 900723,GL57 8DH,ZZ810250T,069276367,0,63.1,1.71,O+,9.6,58.7,secondary,30
Rachael,Lucas,F,1982-06-28,Australia,United Kingdom,(07700)900835,S29 9HZ,ZZ037958T,123000233,0,95.8,1.99,A-,3.8,73.9,bachelor,34
Melissa,Cameron,F,1997-05-25,Czech Republic,United Kingdom,+44(0)7700 900186,RH4X 7HG,ZZ857675T,081231267,0,67.4,1.75,A+,1.7,429.8,secondary,25
Dale,Walters,M,1970-03-08,Uganda,United Kingdom,(07700)900006,E69 8HA,ZZ 287468 T,091197032,0,98.7,1.65,O+,1.2,135.6,secondary,21
Anna,Richards,F,1980-05-22,Georgia,United Kingdom,07700 900039,N2 4EY,ZZ436685T,049410253,0,81.4,1.78,A-,4.3,307.3,secondary,41
Aimee,Jackson,F,1988-11-23,Bahrain,United Kingdom,+447700900765,SS01 9FF,ZZ 16 30 44 T,071545934,0,69.9,1.47,A-,4.1,160.5,primary,37
Mathew,Freeman,M,1978-12-10,Malawi,United Kingdom,+447700900027,M5 5EZ,ZZ 614918 T,029270837,0,80.7,1.78,O-,1.0,433.6,primary,28
Kyle,Glover,M,1970-08-27,Christmas Island,United Kingdom,+44(0)7700900363,W5C 5XH,ZZ 75 24 80 T,025450198,0,58.7,1.51,A+,5.2,421.4,secondary,13
Thomas,Harris,M,1963-09-10,Chad,United Kingdom,+44(0)7700900438,N7B 8XS,ZZ 19 75 24 T,046400046,0,49.4,1.46,A+,0.7,32.8,phD,10
Lisa,Taylor,F,2000-11-19,Germany,United Kingdom,(07700)900840,EH8E 9BR,ZZ493458T,087165285,0,64.7,1.49,A+,4.3,264.1,secondary,40
Margaret,Wilson,F,1988-05-15,Hungary,United Kingdom,07700 900 314,G2 0QW,ZZ183744T,076702853,0,36.9,1.94,A-,8.8,345.4,other,38
Oliver,Smith,M,1970-12-13,South Georgia and the South Sandwich Islands,United Kingdom,(07700) 900228,NP0 3SG,ZZ 82 92 38 T,050730621,0,59.5,1.62,A+,5.0,340.9,secondary,27
Karl,Lowe,M,1970-05-08,Hungary,United Kingdom,+447700900871,E80 0JR,ZZ465641T,039330084,0,38.0,1.98,A+,1.8,306.4,secondary,44
Janet,Marshall,F,1972-10-31,Korea,United Kingdom,+44(0)7700900298,AL9 5QQ,ZZ842073T,106574728,1,68.0,1.58,O+,9.3,260.4,secondary,44
Frank,Little,M,2003-08-05,United States Minor Outlying Islands,United Kingdom,(07700)900596,PA68 9JH,ZZ348282T,108887549,0,51.1,1.59,O+,4.6,222.3,secondary,44
Alexandra,Atkins,F,2000-02-28,Mali,United Kingdom,07700 900 347,BR0H 4AH,ZZ 92 59 40 T,110092432,1,59.5,1.98,O+,6.8,122.4,secondary,10
Lynn,West,F,1980-08-11,Togo,United Kingdom,(07700)900196,B2 9XL,ZZ363522T,082998693,0,64.5,1.7,O+,8.4,69.5,secondary,42
Aimee,Singh,F,1971-04-26,Australia,United Kingdom,07700 900 069,G8 6NP,ZZ 930525 T,114779544,0,45.2,1.58,A+,4.2,53.8,bachelor,14
Josephine,Hamilton,F,1966-10-01,Ukraine,United Kingdom,07700 900848,JE9R 2ZS,ZZ 19 12 74 T,111644151,0,98.4,1.96,A-,2.4,125.2,secondary,4
Kathryn,Mason,F,1960-12-22,Algeria,United Kingdom,07700 900 902,S6 0PF,ZZ 69 30 36 T,010962840,0,59.5,1.89,O+,9.5,176.0,phD,39
Dennis,Gibbons,M,1993-01-25,Azerbaijan,United Kingdom,+44(0)7700900782,G3K 1YU,ZZ443600T,091042284,0,53.8,1.92,A+,2.1,91.5,secondary,38
Mary,Singh,F,1963-09-07,Zimbabwe,United Kingdom,(07700)900052,PA1 5HL,ZZ577881T,025766879,0,35.0,1.66,A+,2.1,466.2,secondary,43
Julia,Pickering,F,1960-12-04,United States of America,United Kingdom,(07700) 900 268,CT1 2BR,ZZ 911849 T,055769590,0,74.4,1.47,O+,6.4,406.0,secondary,46
Donald,Lewis,M,1971-09-12,Singapore,United Kingdom,+447700900065,TQ8 3YD,ZZ156938T,018810952,0,81.5,1.65,A+,1.1,408.7,secondary,44
Nicola,Hewitt,F,1968-02-16,Guam,United Kingdom,(07700) 900776,L7 2BU,ZZ 264973 T,017992978,0,59.3,1.71,O+,7.4,2.6,bachelor,46
Sally,Whitehead,F,1985-02-23,Mongolia,United Kingdom,+44(0)7700 900286,EC56 3HL,ZZ 89 57 39 T,069253241,0,66.4,1.48,A-,9.4,461.7,secondary,18
Harriet,Lord,F,2003-11-04,Russian Federation,United Kingdom,+44(0)7700 900 177,G95 1XU,ZZ 46 48 35 T,075003391,1,44.6,1.55,O+,4.9,449.5,secondary,28
Jonathan,Baker,M,1987-01-29,Belgium,United Kingdom,(07700) 900847,TW56 1BP,ZZ 49 87 48 T,077531117,0,64.0,1.66,A-,9.1,365.9,bachelor,16
Tina,Scott,F,2000-10-23,Mozambique,United Kingdom,+447700900591,L0A 4DY,ZZ299834T,052293221,0,86.7,1.61,O+,7.4,70.8,phD,23
Geoffrey,Smith,M,1976-07-17,Cameroon,United Kingdom,+44(0)7700900943,G6 3YA,ZZ872419T,124930234,0,71.9,1.77,B+,8.7,313.9,secondary,22
Carly,Davies,F,1984-05-07,Brunei Darussalam,United Kingdom,07700900780,N3S 7PT,ZZ 43 15 74 T,068943484,0,48.7,1.44,O+,9.2,60.1,secondary,10
Dominic,Collins,M,1981-06-12,Brazil,United Kingdom,+44(0)7700 900 182,WR7E 4XH,ZZ 14 75 68 T,015668288,0,38.7,1.99,A+,8.6,283.3,secondary,18
Ruth,Wyatt,F,1958-04-04,Gambia,United Kingdom,+44(0)7700 900 789,DL73 1EX,ZZ187203T,043196612,0,77.7,1.71,B+,9.0,277.3,masters,37
Henry,Kelly,M,1969-05-31,Cuba,United Kingdom,+447700 900131,G9D 9RL,ZZ 790553 T,120373837,0,49.1,1.94,A+,3.3,49.9,secondary,41
Paul,Wilkins,M,1986-10-07,Latvia,United Kingdom,07700 900944,HP41 7QZ,ZZ 132630 T,084285210,0,56.5,1.89,A+,2.3,34.4,bachelor,21
Conor,Storey,M,2002-05-26,Saint Kitts and Nevis,United Kingdom,07700 900533,NE6 6BF,ZZ142839T,085292969,0,56.8,1.84,O+,2.2,486.9,secondary,16
Wayne,Cox,M,1963-11-02,Western Sahara,United Kingdom,07700900278,DD04 9DQ,ZZ 117380 T,019174943,0,66.2,1.71,O+,8.9,110.1,bachelor,7
Bruce,Moore,M,1981-07-02,Central African Republic,United Kingdom,(07700) 900 198,W30 2ZF,ZZ 299211 T,051497947,0,55.6,1.69,O+,0.7,439.6,bachelor,10
Leah,Burton,F,1958-09-18,Russian Federation,United Kingdom,07700 900270,HP4 6AN,ZZ 331923 T,093750464,0,100.0,1.52,O+,2.9,152.1,bachelor,46
Leah,Reynolds,F,1964-09-05,Russian Federation,United Kingdom,(07700)900986,M17 3LN,ZZ 52 70 67 T,014896792,0,71.3,1.95,B+,8.7,417.0,secondary,39
Glen,Reid,M,1969-02-19,Central African Republic,United Kingdom,07700 900 416,EN3R 4WR,ZZ 97 42 03 T,064106458,0,49.9,1.7,O+,1.0,257.5,other,13
Dorothy,Atkinson,F,1968-12-28,Greenland,United Kingdom,+447700 900 213,TA7 2QS,ZZ659118T,082108674,0,35.7,1.69,O+,0.4,439.8,secondary,3
Terence,Leach,M,1962-06-19,Italy,United Kingdom,07700 900 492,FY8 8PA,ZZ 01 55 73 T,045974829,1,72.9,1.46,A+,4.6,10.5,secondary,25
Eric,Matthews,M,1962-12-01,Albania,United Kingdom,07700 900534,E8U 1EX,ZZ 403127 T,032742792,0,84.0,1.54,O+,6.4,474.3,masters,43
James,Moore,M,1956-12-31,British Virgin Islands,United Kingdom,07700 900416,M63 9WX,ZZ260969T,044585772,0,99.7,1.48,B+,0.7,471.9,other,37
Malcolm,Ward,M,1967-01-14,Colombia,United Kingdom,(07700) 900 750,LN9 3AE,ZZ823695T,092076770,0,52.2,1.48,O+,1.4,158.4,bachelor,37
Jeffrey,Brown,M,1994-06-25,Costa Rica,United Kingdom,07700 900721,NE8P 3DS,ZZ 87 50 39 T,056784105,0,77.4,1.91,B+,9.7,132.8,primary,25
Samuel,Ward,M,1999-09-02,Isle of Man,United Kingdom,+447700 900 347,NR06 7FR,ZZ 669947 T,095469258,0,50.1,1.59,O+,7.2,279.0,bachelor,22
Jack,Douglas,M,1985-11-21,Georgia,United Kingdom,07700 900353,BB95 2UD,ZZ 29 03 20 T,118662466,0,68.2,1.45,A+,9.7,429.5,secondary,2
Beverley,Kemp,F,1992-01-18,Argentina,United Kingdom,07700900721,CH7Y 4NR,ZZ 94 57 10 T,114374839,0,47.1,1.81,A+,2.6,487.5,bachelor,27
Roy,Hawkins,M,1984-09-27,Armenia,United Kingdom,07700 900 150,HA0 0ZB,ZZ 92 71 92 T,018211195,0,44.2,1.98,O+,6.2,21.5,bachelor,46
Joyce,Clark,F,1962-09-14,Vietnam,United Kingdom,+447700 900611,SP78 8EF,ZZ682180T,128316582,0,42.8,1.85,O+,1.0,379.5,primary,48
Georgia,Moore,F,1994-10-21,Mauritius,United Kingdom,+447700 900 439,CA2W 5NQ,ZZ 500024 T,123221779,0,54.2,1.96,A+,8.3,492.6,masters,27
Brett,Harvey,M,1973-08-19,Svalbard & Jan Mayen Islands,United Kingdom,07700900025,HG3X 8UF,ZZ 453193 T,066146856,0,63.5,1.52,B+,3.6,81.8,secondary,15
Christine,Todd,F,1971-08-25,India,United Kingdom,07700 900 684,M04 5SA,ZZ 432458 T,111273991,0,93.9,1.89,O+,8.5,481.2,secondary,32
Naomi,Ford,F,1975-04-18,Suriname,United Kingdom,+44(0)7700900040,G5 6JY,ZZ 308378 T,117995558,1,74.2,1.48,O+,0.0,99.5,other,18
Amy,Vaughan,F,1957-01-10,Italy,United Kingdom,(07700)900273,SL6W 3ZU,ZZ622667T,123412902,0,96.6,1.84,A+,7.9,54.1,secondary,13
Kathleen,Walker,F,1968-06-13,Bolivia,United Kingdom,07700900426,NE6 8SU,ZZ149544T,124698071,0,60.8,1.57,B-,3.5,353.2,primary,32
Brandon,Lewis,M,1990-01-22,Cook Islands,United Kingdom,+447700 900 460,S8 4AA,ZZ685878T,088792903,0,87.0,1.97,A+,8.3,52.0,bachelor,38
Leon,Evans,M,1976-11-02,Jersey,United Kingdom,07700 900312,W2H 7FU,ZZ758305T,094689149,0,93.0,1.46,A+,5.9,217.8,masters,46
Gary,Heath,M,1965-10-13,Bahrain,United Kingdom,(07700)900300,LN19 2TY,ZZ 94 14 52 T,085051197,0,66.6,1.75,AB+,7.0,194.8,secondary,47
Declan,Griffiths,M,2000-08-15,Gambia,United Kingdom,+44(0)7700 900 520,SY7P 3DS,ZZ767626T,046341273,0,95.2,1.8,B+,2.0,183.7,bachelor,33
Georgia,Evans,F,1986-07-03,Guam,United Kingdom,(07700) 900 272,HR3R 1XY,ZZ 752152 T,055116554,0,88.0,1.95,A+,3.7,189.9,bachelor,34
Dean,Ross,M,1955-12-29,Comoros,United Kingdom,+44(0)7700 900422,G7D 8LE,ZZ 61 67 72 T,122012167,0,60.9,1.59,O-,8.9,430.2,bachelor,19
Katy,Norman,F,1975-01-13,Belgium,United Kingdom,+44(0)7700 900 913,ZE4P 8TL,ZZ264221T,048571588,0,41.4,1.88,A+,8.2,403.8,secondary,32
Kirsty,Roberts,F,1976-06-17,Kuwait,United Kingdom,07700 900 252,DT31 7SE,ZZ315233T,108575974,0,44.6,1.86,O+,9.8,491.1,other,8
Tina,Fleming,F,1974-04-05,Singapore,United Kingdom,(07700) 900099,M38 4TG,ZZ 07 88 89 T,108665952,0,64.8,1.85,A+,5.7,92.9,secondary,8
Geoffrey,Watkins,M,1989-07-13,Cameroon,United Kingdom,+447700900072,E8 2EB,ZZ431032T,066895631,0,62.6,1.8,A-,0.9,31.3,secondary,10
Lynn,Peters,F,1996-06-21,Saint Pierre and Miquelon,United Kingdom,(07700) 900 907,AL6E 1YF,ZZ447586T,085484780,0,87.4,1.75,O+,5.1,485.9,secondary,40
Zoe,Alexander,F,1978-09-16,Venezuela,United Kingdom,+447700 900 403,LL4P 2GU,ZZ 29 31 48 T,092927175,0,97.1,1.76,A+,4.2,390.8,bachelor,46
Harry,Williams,M,1968-05-22,Brazil,United Kingdom,07700 900 801,SR1W 2YH,ZZ 551167 T,035983930,0,64.9,1.74,O-,9.8,430.8,secondary,45
Hilary,Pearce,F,1996-12-04,France,United Kingdom,07700 900261,ZE3Y 2LL,ZZ 527581 T,026003560,0,37.3,1.86,B+,7.9,374.0,masters,16
Catherine,Roberts,F,1984-12-24,Myanmar,United Kingdom,07700 900517,W4D 0QP,ZZ 18 47 09 T,112289573,0,65.8,1.81,A+,1.0,146.1,other,9
Denis,Townsend,M,1982-05-26,Svalbard & Jan Mayen Islands,United Kingdom,(07700) 900740,WF07 2NP,ZZ927709T,062604295,0,56.5,1.59,O-,8.5,191.4,primary,42
Tracy,Ferguson,F,1990-09-22,Tonga,United Kingdom,+447700 900826,CO8 9GD,ZZ 31 37 30 T,075459479,0,99.7,1.46,O+,2.9,217.7,masters,35
Jayne,Morris,F,1958-07-02,Georgia,United Kingdom,+447700 900637,S5 9QN,ZZ 24 31 56 T,034492600,0,41.4,1.93,O+,7.1,26.9,secondary,10
Charlene,Watson,F,1961-03-05,Swaziland,United Kingdom,07700900661,L8 3PT,ZZ 912299 T,100743801,0,92.4,1.98,O+,9.9,307.4,primary,3
Louis,Ford,M,2000-01-16,Australia,United Kingdom,+44(0)7700 900 327,DH8M 2QX,ZZ 95 48 39 T,050965153,0,91.3,1.98,A+,0.4,456.6,secondary,29
Olivia,Mason,F,1979-06-08,Swaziland,United Kingdom,07700 900492,BD0 0SJ,ZZ974029T,088100126,0,78.3,1.64,O+,5.3,118.8,secondary,14
Lynn,Cooper,F,1967-10-26,Saint Martin,United Kingdom,(07700) 900 810,S6 2RA,ZZ 568385 T,103067801,0,96.7,1.82,O+,1.7,187.0,secondary,35
Oliver,Haynes,M,1968-05-31,Mongolia,United Kingdom,(07700) 900 303,M5 4FG,ZZ 640619 T,082636625,0,58.1,1.89,O+,0.8,39.1,secondary,39
Heather,Mistry,F,1998-04-13,Portugal,United Kingdom,(07700)900098,L86 3YD,ZZ 122405 T,022989280,0,84.9,1.57,O+,5.4,369.8,other,15
Lynne,Smith,F,1980-10-28,Burundi,United Kingdom,07700 900 837,PO4P 3YL,ZZ 51 47 54 T,014154353,0,72.7,1.86,O-,0.4,73.7,masters,6
Megan,Smith,F,1969-06-13,Comoros,United Kingdom,+44(0)7700 900618,SG2 6AX,ZZ 086143 T,094118681,0,52.8,1.82,A+,8.7,222.2,secondary,28
Stacey,Gardner,F,1964-03-09,France,United Kingdom,+44(0)7700900427,EH8 1UH,ZZ645127T,115821763,0,41.6,1.59,A+,5.6,159.0,other,48
